individual	sex	population	description	super_population
HG02493	m	PJL	Punjabi from Lahore - Pakistan	SAS
HG02494	f	PJL	Punjabi from Lahore - Pakistan	SAS
HG02597	m	PJL	Punjabi from Lahore - Pakistan	SAS
HG02600	m	PJL	Punjabi from Lahore - Pakistan	SAS
HG02601	f	PJL	Punjabi from Lahore - Pakistan	SAS
HG02603	m	PJL	Punjabi from Lahore - Pakistan	SAS
HG02604	f	PJL	Punjabi from Lahore - Pakistan	SAS
HG02648	m	PJL	Punjabi from Lahore - Pakistan	SAS
HG02649	f	PJL	Punjabi from Lahore - Pakistan	SAS
HG02651	m	PJL	Punjabi from Lahore - Pakistan	SAS
HG02652	f	PJL	Punjabi from Lahore - Pakistan	SAS
HG02654	m	PJL	Punjabi from Lahore - Pakistan	SAS
HG02655	f	PJL	Punjabi from Lahore - Pakistan	SAS
HG02657	m	PJL	Punjabi from Lahore - Pakistan	SAS
HG02658	f	PJL	Punjabi from Lahore - Pakistan	SAS
HG02660	m	PJL	Punjabi from Lahore - Pakistan	SAS
HG02661	f	PJL	Punjabi from Lahore - Pakistan	SAS
HG02681	m	PJL	Punjabi from Lahore - Pakistan	SAS
HG02682	f	PJL	Punjabi from Lahore - Pakistan	SAS
HG02684	m	PJL	Punjabi from Lahore - Pakistan	SAS
HG02685	f	PJL	Punjabi from Lahore - Pakistan	SAS
HG02687	m	PJL	Punjabi from Lahore - Pakistan	SAS
HG02688	f	PJL	Punjabi from Lahore - Pakistan	SAS
HG02690	m	PJL	Punjabi from Lahore - Pakistan	SAS
HG02691	f	PJL	Punjabi from Lahore - Pakistan	SAS
HG02694	f	PJL	Punjabi from Lahore - Pakistan	SAS
HG02696	m	PJL	Punjabi from Lahore - Pakistan	SAS
HG02697	f	PJL	Punjabi from Lahore - Pakistan	SAS
HG02699	m	PJL	Punjabi from Lahore - Pakistan	SAS
HG02700	f	PJL	Punjabi from Lahore - Pakistan	SAS
HG02724	m	PJL	Punjabi from Lahore - Pakistan	SAS
HG02725	f	PJL	Punjabi from Lahore - Pakistan	SAS
HG02727	m	PJL	Punjabi from Lahore - Pakistan	SAS
HG02728	f	PJL	Punjabi from Lahore - Pakistan	SAS
HG02731	f	PJL	Punjabi from Lahore - Pakistan	SAS
HG02733	m	PJL	Punjabi from Lahore - Pakistan	SAS
HG02734	f	PJL	Punjabi from Lahore - Pakistan	SAS
HG02736	m	PJL	Punjabi from Lahore - Pakistan	SAS
HG02737	f	PJL	Punjabi from Lahore - Pakistan	SAS
HG02774	m	PJL	Punjabi from Lahore - Pakistan	SAS
HG02775	f	PJL	Punjabi from Lahore - Pakistan	SAS
HG02778	f	PJL	Punjabi from Lahore - Pakistan	SAS
HG02780	m	PJL	Punjabi from Lahore - Pakistan	SAS
HG02783	m	PJL	Punjabi from Lahore - Pakistan	SAS
HG02784	f	PJL	Punjabi from Lahore - Pakistan	SAS
HG02786	m	PJL	Punjabi from Lahore - Pakistan	SAS
HG02787	f	PJL	Punjabi from Lahore - Pakistan	SAS
HG02789	m	PJL	Punjabi from Lahore - Pakistan	SAS
HG02790	f	PJL	Punjabi from Lahore - Pakistan	SAS
HG02792	m	PJL	Punjabi from Lahore - Pakistan	SAS
HG02793	f	PJL	Punjabi from Lahore - Pakistan	SAS
HG03015	m	PJL	Punjabi from Lahore - Pakistan	SAS
HG03016	f	PJL	Punjabi from Lahore - Pakistan	SAS
HG03018	m	PJL	Punjabi from Lahore - Pakistan	SAS
HG03019	f	PJL	Punjabi from Lahore - Pakistan	SAS
HG03021	m	PJL	Punjabi from Lahore - Pakistan	SAS
HG03022	f	PJL	Punjabi from Lahore - Pakistan	SAS
HG03228	m	PJL	Punjabi from Lahore - Pakistan	SAS
HG03229	f	PJL	Punjabi from Lahore - Pakistan	SAS
HG03234	m	PJL	Punjabi from Lahore - Pakistan	SAS
HG03235	f	PJL	Punjabi from Lahore - Pakistan	SAS
HG03237	m	PJL	Punjabi from Lahore - Pakistan	SAS
HG03238	f	PJL	Punjabi from Lahore - Pakistan	SAS
HG03488	f	PJL	Punjabi from Lahore - Pakistan	SAS
HG03490	m	PJL	Punjabi from Lahore - Pakistan	SAS
HG03491	f	PJL	Punjabi from Lahore - Pakistan	SAS
HG03619	f	PJL	Punjabi from Lahore - Pakistan	SAS
HG03624	m	PJL	Punjabi from Lahore - Pakistan	SAS
HG03625	f	PJL	Punjabi from Lahore - Pakistan	SAS
HG03629	m	PJL	Punjabi from Lahore - Pakistan	SAS
HG03631	f	PJL	Punjabi from Lahore - Pakistan	SAS
HG03634	f	PJL	Punjabi from Lahore - Pakistan	SAS
HG03636	m	PJL	Punjabi from Lahore - Pakistan	SAS
HG03640	f	PJL	Punjabi from Lahore - Pakistan	SAS
HG03649	m	PJL	Punjabi from Lahore - Pakistan	SAS
HG03652	m	PJL	Punjabi from Lahore - Pakistan	SAS
HG03653	f	PJL	Punjabi from Lahore - Pakistan	SAS
HG03660	m	PJL	Punjabi from Lahore - Pakistan	SAS
HG03663	m	PJL	Punjabi from Lahore - Pakistan	SAS
HG03667	m	PJL	Punjabi from Lahore - Pakistan	SAS
HG03668	f	PJL	Punjabi from Lahore - Pakistan	SAS
HG03702	m	PJL	Punjabi from Lahore - Pakistan	SAS
HG03703	f	PJL	Punjabi from Lahore - Pakistan	SAS
HG03705	m	PJL	Punjabi from Lahore - Pakistan	SAS
HG03706	f	PJL	Punjabi from Lahore - Pakistan	SAS
HG03708	m	PJL	Punjabi from Lahore - Pakistan	SAS
HG03709	f	PJL	Punjabi from Lahore - Pakistan	SAS
HG03762	f	PJL	Punjabi from Lahore - Pakistan	SAS
HG03765	f	PJL	Punjabi from Lahore - Pakistan	SAS
HG03767	m	PJL	Punjabi from Lahore - Pakistan	SAS
HG03642	f	STU	Sri Lankan Tamil from the UK	SAS
HG03643	f	STU	Sri Lankan Tamil from the UK	SAS
HG03644	m	STU	Sri Lankan Tamil from the UK	SAS
HG03645	f	STU	Sri Lankan Tamil from the UK	SAS
HG03646	m	STU	Sri Lankan Tamil from the UK	SAS
HG03672	m	STU	Sri Lankan Tamil from the UK	SAS
HG03673	f	STU	Sri Lankan Tamil from the UK	SAS
HG03679	m	STU	Sri Lankan Tamil from the UK	SAS
HG03680	m	STU	Sri Lankan Tamil from the UK	SAS
HG03681	m	STU	Sri Lankan Tamil from the UK	SAS
HG03684	f	STU	Sri Lankan Tamil from the UK	SAS
HG03685	m	STU	Sri Lankan Tamil from the UK	SAS
HG03686	m	STU	Sri Lankan Tamil from the UK	SAS
HG03687	m	STU	Sri Lankan Tamil from the UK	SAS
HG03689	f	STU	Sri Lankan Tamil from the UK	SAS
HG03690	f	STU	Sri Lankan Tamil from the UK	SAS
HG03691	m	STU	Sri Lankan Tamil from the UK	SAS
HG03692	f	STU	Sri Lankan Tamil from the UK	SAS
HG03693	m	STU	Sri Lankan Tamil from the UK	SAS
HG03694	m	STU	Sri Lankan Tamil from the UK	SAS
HG03695	m	STU	Sri Lankan Tamil from the UK	SAS
HG03696	m	STU	Sri Lankan Tamil from the UK	SAS
HG03697	m	STU	Sri Lankan Tamil from the UK	SAS
HG03698	f	STU	Sri Lankan Tamil from the UK	SAS
HG03711	m	STU	Sri Lankan Tamil from the UK	SAS
HG03733	f	STU	Sri Lankan Tamil from the UK	SAS
HG03736	f	STU	Sri Lankan Tamil from the UK	SAS
HG03738	m	STU	Sri Lankan Tamil from the UK	SAS
HG03740	m	STU	Sri Lankan Tamil from the UK	SAS
HG03741	f	STU	Sri Lankan Tamil from the UK	SAS
HG03743	m	STU	Sri Lankan Tamil from the UK	SAS
HG03744	m	STU	Sri Lankan Tamil from the UK	SAS
HG03745	m	STU	Sri Lankan Tamil from the UK	SAS
HG03746	m	STU	Sri Lankan Tamil from the UK	SAS
HG03750	m	STU	Sri Lankan Tamil from the UK	SAS
HG03752	f	STU	Sri Lankan Tamil from the UK	SAS
HG03753	m	STU	Sri Lankan Tamil from the UK	SAS
HG03754	f	STU	Sri Lankan Tamil from the UK	SAS
HG03755	m	STU	Sri Lankan Tamil from the UK	SAS
HG03756	f	STU	Sri Lankan Tamil from the UK	SAS
HG03757	f	STU	Sri Lankan Tamil from the UK	SAS
HG03760	f	STU	Sri Lankan Tamil from the UK	SAS
HG03836	f	STU	Sri Lankan Tamil from the UK	SAS
HG03837	m	STU	Sri Lankan Tamil from the UK	SAS
HG03838	f	STU	Sri Lankan Tamil from the UK	SAS
HG03844	m	STU	Sri Lankan Tamil from the UK	SAS
HG03846	m	STU	Sri Lankan Tamil from the UK	SAS
HG03848	m	STU	Sri Lankan Tamil from the UK	SAS
HG03849	f	STU	Sri Lankan Tamil from the UK	SAS
HG03850	m	STU	Sri Lankan Tamil from the UK	SAS
HG03851	m	STU	Sri Lankan Tamil from the UK	SAS
HG03854	m	STU	Sri Lankan Tamil from the UK	SAS
HG03856	m	STU	Sri Lankan Tamil from the UK	SAS
HG03857	f	STU	Sri Lankan Tamil from the UK	SAS
HG03858	f	STU	Sri Lankan Tamil from the UK	SAS
HG03884	f	STU	Sri Lankan Tamil from the UK	SAS
HG03885	m	STU	Sri Lankan Tamil from the UK	SAS
HG03886	f	STU	Sri Lankan Tamil from the UK	SAS
HG03887	m	STU	Sri Lankan Tamil from the UK	SAS
HG03888	f	STU	Sri Lankan Tamil from the UK	SAS
HG03890	m	STU	Sri Lankan Tamil from the UK	SAS
HG03894	f	STU	Sri Lankan Tamil from the UK	SAS
HG03895	f	STU	Sri Lankan Tamil from the UK	SAS
HG03896	m	STU	Sri Lankan Tamil from the UK	SAS
HG03897	f	STU	Sri Lankan Tamil from the UK	SAS
HG03898	f	STU	Sri Lankan Tamil from the UK	SAS
HG03899	m	STU	Sri Lankan Tamil from the UK	SAS
HG03900	m	STU	Sri Lankan Tamil from the UK	SAS
HG03943	m	STU	Sri Lankan Tamil from the UK	SAS
HG03944	f	STU	Sri Lankan Tamil from the UK	SAS
HG03945	f	STU	Sri Lankan Tamil from the UK	SAS
HG03947	f	STU	Sri Lankan Tamil from the UK	SAS
HG03949	f	STU	Sri Lankan Tamil from the UK	SAS
HG03950	m	STU	Sri Lankan Tamil from the UK	SAS
HG03951	f	STU	Sri Lankan Tamil from the UK	SAS
HG03953	m	STU	Sri Lankan Tamil from the UK	SAS
HG03955	f	STU	Sri Lankan Tamil from the UK	SAS
HG03985	m	STU	Sri Lankan Tamil from the UK	SAS
HG03986	f	STU	Sri Lankan Tamil from the UK	SAS
HG03989	f	STU	Sri Lankan Tamil from the UK	SAS
HG03990	m	STU	Sri Lankan Tamil from the UK	SAS
HG03991	m	STU	Sri Lankan Tamil from the UK	SAS
HG03995	f	STU	Sri Lankan Tamil from the UK	SAS
HG03998	m	STU	Sri Lankan Tamil from the UK	SAS
HG03999	m	STU	Sri Lankan Tamil from the UK	SAS
HG04003	m	STU	Sri Lankan Tamil from the UK	SAS
HG04006	m	STU	Sri Lankan Tamil from the UK	SAS
HG04029	f	STU	Sri Lankan Tamil from the UK	SAS
HG04033	m	STU	Sri Lankan Tamil from the UK	SAS
HG04035	f	STU	Sri Lankan Tamil from the UK	SAS
HG04038	f	STU	Sri Lankan Tamil from the UK	SAS
HG04039	m	STU	Sri Lankan Tamil from the UK	SAS
HG04042	f	STU	Sri Lankan Tamil from the UK	SAS
HG04047	f	STU	Sri Lankan Tamil from the UK	SAS
HG04075	f	STU	Sri Lankan Tamil from the UK	SAS
HG04099	f	STU	Sri Lankan Tamil from the UK	SAS
HG04100	m	STU	Sri Lankan Tamil from the UK	SAS
HG04106	f	STU	Sri Lankan Tamil from the UK	SAS
HG04107	m	STU	Sri Lankan Tamil from the UK	SAS
HG04210	m	STU	Sri Lankan Tamil from the UK	SAS
HG04227	f	STU	Sri Lankan Tamil from the UK	SAS
HG04229	m	STU	Sri Lankan Tamil from the UK	SAS
HG00759	f	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG00766	f	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG00844	m	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG00851	f	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG00864	f	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG00867	f	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG00879	f	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG00881	m	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG00956	f	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG00978	f	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG00982	m	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG01028	m	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG01029	f	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG01031	m	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG01046	f	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG01794	f	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG01795	f	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG01796	f	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG01797	f	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG01798	f	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG01799	f	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG01800	f	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG01801	f	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG01802	f	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG01804	f	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG01805	f	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG01806	f	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG01807	f	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG01808	f	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG01809	f	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG01810	m	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG01811	m	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG01812	f	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG01813	f	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG01815	f	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG01816	m	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG01817	f	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG02151	f	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG02152	f	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG02153	f	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG02154	f	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG02155	f	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG02156	f	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG02164	f	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG02165	f	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG02166	f	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG02178	f	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG02179	f	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG02180	f	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG02181	f	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG02182	f	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG02184	f	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG02185	f	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG02186	f	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG02187	f	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG02188	f	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG02190	f	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG02250	m	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG02351	m	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG02353	m	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG02355	m	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG02356	m	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG02360	m	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG02364	m	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG02367	m	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG02371	m	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG02373	m	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG02374	m	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG02375	m	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG02379	m	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG02380	m	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG02382	m	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG02383	m	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG02384	m	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG02385	m	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG02386	m	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG02389	m	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG02390	m	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG02391	m	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG02392	m	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG02394	m	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG02395	m	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG02396	m	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG02397	m	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG02398	m	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG02399	m	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG02401	m	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG02402	m	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG02406	m	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG02407	m	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG02408	m	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG02409	m	CDX	Chinese Dai in Xishuangbanna - China	EAS
HG02410	m	CDX	Chinese Dai in Xishuangbanna - China	EAS
NA18525	f	CHB	Han Chinese in Beijing China	EAS
NA18526	f	CHB	Han Chinese in Beijing China	EAS
NA18528	f	CHB	Han Chinese in Beijing China	EAS
NA18530	m	CHB	Han Chinese in Beijing China	EAS
NA18531	f	CHB	Han Chinese in Beijing China	EAS
NA18532	f	CHB	Han Chinese in Beijing China	EAS
NA18533	f	CHB	Han Chinese in Beijing China	EAS
NA18534	m	CHB	Han Chinese in Beijing China	EAS
NA18535	f	CHB	Han Chinese in Beijing China	EAS
NA18536	m	CHB	Han Chinese in Beijing China	EAS
NA18537	f	CHB	Han Chinese in Beijing China	EAS
NA18538	f	CHB	Han Chinese in Beijing China	EAS
NA18539	f	CHB	Han Chinese in Beijing China	EAS
NA18541	f	CHB	Han Chinese in Beijing China	EAS
NA18542	f	CHB	Han Chinese in Beijing China	EAS
NA18543	m	CHB	Han Chinese in Beijing China	EAS
NA18544	m	CHB	Han Chinese in Beijing China	EAS
NA18545	f	CHB	Han Chinese in Beijing China	EAS
NA18546	m	CHB	Han Chinese in Beijing China	EAS
NA18547	f	CHB	Han Chinese in Beijing China	EAS
NA18548	m	CHB	Han Chinese in Beijing China	EAS
NA18549	m	CHB	Han Chinese in Beijing China	EAS
NA18550	f	CHB	Han Chinese in Beijing China	EAS
NA18552	f	CHB	Han Chinese in Beijing China	EAS
NA18553	f	CHB	Han Chinese in Beijing China	EAS
NA18555	f	CHB	Han Chinese in Beijing China	EAS
NA18557	m	CHB	Han Chinese in Beijing China	EAS
NA18558	m	CHB	Han Chinese in Beijing China	EAS
NA18559	m	CHB	Han Chinese in Beijing China	EAS
NA18560	f	CHB	Han Chinese in Beijing China	EAS
NA18561	m	CHB	Han Chinese in Beijing China	EAS
NA18562	m	CHB	Han Chinese in Beijing China	EAS
NA18563	m	CHB	Han Chinese in Beijing China	EAS
NA18564	f	CHB	Han Chinese in Beijing China	EAS
NA18565	f	CHB	Han Chinese in Beijing China	EAS
NA18566	f	CHB	Han Chinese in Beijing China	EAS
NA18567	f	CHB	Han Chinese in Beijing China	EAS
NA18570	f	CHB	Han Chinese in Beijing China	EAS
NA18571	f	CHB	Han Chinese in Beijing China	EAS
NA18572	m	CHB	Han Chinese in Beijing China	EAS
NA18573	f	CHB	Han Chinese in Beijing China	EAS
NA18574	f	CHB	Han Chinese in Beijing China	EAS
NA18577	f	CHB	Han Chinese in Beijing China	EAS
NA18579	f	CHB	Han Chinese in Beijing China	EAS
NA18582	f	CHB	Han Chinese in Beijing China	EAS
NA18591	f	CHB	Han Chinese in Beijing China	EAS
NA18592	f	CHB	Han Chinese in Beijing China	EAS
NA18593	f	CHB	Han Chinese in Beijing China	EAS
NA18595	f	CHB	Han Chinese in Beijing China	EAS
NA18596	f	CHB	Han Chinese in Beijing China	EAS
NA18597	f	CHB	Han Chinese in Beijing China	EAS
NA18599	f	CHB	Han Chinese in Beijing China	EAS
NA18602	f	CHB	Han Chinese in Beijing China	EAS
NA18603	m	CHB	Han Chinese in Beijing China	EAS
NA18605	m	CHB	Han Chinese in Beijing China	EAS
NA18606	m	CHB	Han Chinese in Beijing China	EAS
NA18608	m	CHB	Han Chinese in Beijing China	EAS
NA18609	m	CHB	Han Chinese in Beijing China	EAS
NA18610	f	CHB	Han Chinese in Beijing China	EAS
NA18611	m	CHB	Han Chinese in Beijing China	EAS
NA18612	m	CHB	Han Chinese in Beijing China	EAS
NA18613	m	CHB	Han Chinese in Beijing China	EAS
NA18614	f	CHB	Han Chinese in Beijing China	EAS
NA18615	f	CHB	Han Chinese in Beijing China	EAS
NA18616	f	CHB	Han Chinese in Beijing China	EAS
NA18617	f	CHB	Han Chinese in Beijing China	EAS
NA18618	f	CHB	Han Chinese in Beijing China	EAS
NA18619	f	CHB	Han Chinese in Beijing China	EAS
NA18620	m	CHB	Han Chinese in Beijing China	EAS
NA18621	m	CHB	Han Chinese in Beijing China	EAS
NA18622	m	CHB	Han Chinese in Beijing China	EAS
NA18623	m	CHB	Han Chinese in Beijing China	EAS
NA18624	m	CHB	Han Chinese in Beijing China	EAS
NA18625	f	CHB	Han Chinese in Beijing China	EAS
NA18626	f	CHB	Han Chinese in Beijing China	EAS
NA18627	f	CHB	Han Chinese in Beijing China	EAS
NA18628	f	CHB	Han Chinese in Beijing China	EAS
NA18629	m	CHB	Han Chinese in Beijing China	EAS
NA18630	f	CHB	Han Chinese in Beijing China	EAS
NA18631	f	CHB	Han Chinese in Beijing China	EAS
NA18632	m	CHB	Han Chinese in Beijing China	EAS
NA18633	m	CHB	Han Chinese in Beijing China	EAS
NA18634	f	CHB	Han Chinese in Beijing China	EAS
NA18635	m	CHB	Han Chinese in Beijing China	EAS
NA18636	m	CHB	Han Chinese in Beijing China	EAS
NA18637	m	CHB	Han Chinese in Beijing China	EAS
NA18638	m	CHB	Han Chinese in Beijing China	EAS
NA18639	m	CHB	Han Chinese in Beijing China	EAS
NA18640	f	CHB	Han Chinese in Beijing China	EAS
NA18641	f	CHB	Han Chinese in Beijing China	EAS
NA18642	f	CHB	Han Chinese in Beijing China	EAS
NA18643	m	CHB	Han Chinese in Beijing China	EAS
NA18644	f	CHB	Han Chinese in Beijing China	EAS
NA18645	m	CHB	Han Chinese in Beijing China	EAS
NA18646	f	CHB	Han Chinese in Beijing China	EAS
NA18647	m	CHB	Han Chinese in Beijing China	EAS
NA18648	m	CHB	Han Chinese in Beijing China	EAS
NA18740	m	CHB	Han Chinese in Beijing China	EAS
NA18745	m	CHB	Han Chinese in Beijing China	EAS
NA18747	m	CHB	Han Chinese in Beijing China	EAS
NA18748	m	CHB	Han Chinese in Beijing China	EAS
NA18749	m	CHB	Han Chinese in Beijing China	EAS
NA18757	m	CHB	Han Chinese in Beijing China	EAS
HG00403	m	CHS	Southern Han Chinese	EAS
HG00404	f	CHS	Southern Han Chinese	EAS
HG00406	m	CHS	Southern Han Chinese	EAS
HG00407	f	CHS	Southern Han Chinese	EAS
HG00409	m	CHS	Southern Han Chinese	EAS
HG00410	f	CHS	Southern Han Chinese	EAS
HG00419	f	CHS	Southern Han Chinese	EAS
HG00421	m	CHS	Southern Han Chinese	EAS
HG00422	f	CHS	Southern Han Chinese	EAS
HG00428	f	CHS	Southern Han Chinese	EAS
HG00436	m	CHS	Southern Han Chinese	EAS
HG00437	f	CHS	Southern Han Chinese	EAS
HG00442	m	CHS	Southern Han Chinese	EAS
HG00443	f	CHS	Southern Han Chinese	EAS
HG00445	m	CHS	Southern Han Chinese	EAS
HG00446	f	CHS	Southern Han Chinese	EAS
HG00448	m	CHS	Southern Han Chinese	EAS
HG00449	f	CHS	Southern Han Chinese	EAS
HG00451	m	CHS	Southern Han Chinese	EAS
HG00452	f	CHS	Southern Han Chinese	EAS
HG00457	m	CHS	Southern Han Chinese	EAS
HG00458	f	CHS	Southern Han Chinese	EAS
HG00463	m	CHS	Southern Han Chinese	EAS
HG00464	f	CHS	Southern Han Chinese	EAS
HG00472	m	CHS	Southern Han Chinese	EAS
HG00473	f	CHS	Southern Han Chinese	EAS
HG00475	m	CHS	Southern Han Chinese	EAS
HG00476	f	CHS	Southern Han Chinese	EAS
HG00478	m	CHS	Southern Han Chinese	EAS
HG00479	f	CHS	Southern Han Chinese	EAS
HG00500	m	CHS	Southern Han Chinese	EAS
HG00513	f	CHS	Southern Han Chinese	EAS
HG00524	m	CHS	Southern Han Chinese	EAS
HG00525	f	CHS	Southern Han Chinese	EAS
HG00530	m	CHS	Southern Han Chinese	EAS
HG00531	f	CHS	Southern Han Chinese	EAS
HG00533	m	CHS	Southern Han Chinese	EAS
HG00534	f	CHS	Southern Han Chinese	EAS
HG00536	m	CHS	Southern Han Chinese	EAS
HG00537	f	CHS	Southern Han Chinese	EAS
HG00542	m	CHS	Southern Han Chinese	EAS
HG00543	f	CHS	Southern Han Chinese	EAS
HG00556	m	CHS	Southern Han Chinese	EAS
HG00557	f	CHS	Southern Han Chinese	EAS
HG00559	m	CHS	Southern Han Chinese	EAS
HG00560	f	CHS	Southern Han Chinese	EAS
HG00565	m	CHS	Southern Han Chinese	EAS
HG00566	f	CHS	Southern Han Chinese	EAS
HG00580	m	CHS	Southern Han Chinese	EAS
HG00581	f	CHS	Southern Han Chinese	EAS
HG00583	m	CHS	Southern Han Chinese	EAS
HG00584	f	CHS	Southern Han Chinese	EAS
HG00589	m	CHS	Southern Han Chinese	EAS
HG00590	f	CHS	Southern Han Chinese	EAS
HG00592	m	CHS	Southern Han Chinese	EAS
HG00593	f	CHS	Southern Han Chinese	EAS
HG00595	m	CHS	Southern Han Chinese	EAS
HG00596	f	CHS	Southern Han Chinese	EAS
HG00598	m	CHS	Southern Han Chinese	EAS
HG00599	f	CHS	Southern Han Chinese	EAS
HG00607	m	CHS	Southern Han Chinese	EAS
HG00608	f	CHS	Southern Han Chinese	EAS
HG00610	m	CHS	Southern Han Chinese	EAS
HG00611	f	CHS	Southern Han Chinese	EAS
HG00613	m	CHS	Southern Han Chinese	EAS
HG00614	f	CHS	Southern Han Chinese	EAS
HG00619	m	CHS	Southern Han Chinese	EAS
HG00620	f	CHS	Southern Han Chinese	EAS
HG00622	m	CHS	Southern Han Chinese	EAS
HG00623	f	CHS	Southern Han Chinese	EAS
HG00625	m	CHS	Southern Han Chinese	EAS
HG00626	f	CHS	Southern Han Chinese	EAS
HG00628	m	CHS	Southern Han Chinese	EAS
HG00629	f	CHS	Southern Han Chinese	EAS
HG00631	m	CHS	Southern Han Chinese	EAS
HG00632	f	CHS	Southern Han Chinese	EAS
HG00634	m	CHS	Southern Han Chinese	EAS
HG00650	m	CHS	Southern Han Chinese	EAS
HG00651	f	CHS	Southern Han Chinese	EAS
HG00653	m	CHS	Southern Han Chinese	EAS
